date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:37	23041/23041	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Dec%202019%2004:14:43%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/2002203401-2-1-16.jpg?v=1546787346663	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/2002203401-2-1-16747f.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:31:49	73040/73040	---MCZ	200	added ('OK')	text/html	etag:W/54eadecd1a4746e73726edcfde7ab6a6	https://tmt-fashion-1.mysapo.net/ao-thun-corduroy	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/tmt-fashion-1.mysapo.net/ao-thun-corduroy.html	(from https://tmt-fashion-1.mysapo.net/)
21:31:51	7934/7934	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Mar%202020%2003:20:48%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/343/333/products/0760154606-1-1-16.jpg?v=1546251401000	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/medium/100/343/333/products/0760154606-1-1-1691f4.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:31:55	22813/22813	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Mar%202020%2020:25:11%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/0760154606-1-1-16.jpg?v=1546251401000	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/0760154606-1-1-1691f4.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:31:58	952791/952791	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jan%202019%2015:06:52%20GMT	http://bizweb.dktcdn.net/100/343/333/products/3329426800-2-2-16.jpg?v=1546787291590	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/100/343/333/products/3329426800-2-2-169c72.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:32:03	28806/28806	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Mar%202020%2020:25:11%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/0760154606-2-1-16.jpg?v=1546251403000	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/0760154606-2-1-167328.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:32:24	128054/128054	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Dec%202018%2015:34:43%20GMT	http://bizweb.dktcdn.net/100/343/333/themes/702394/assets/xxx_6.jpg?1586856046129	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/100/343/333/themes/702394/assets/xxx_64fcc.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:32:27	930734/930734	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jan%202019%2015:04:36%20GMT	http://bizweb.dktcdn.net/100/343/333/products/2049298401-1-1-16.jpg?v=1546787076443	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/100/343/333/products/2049298401-1-1-166ff6.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:32:36	87462/87462	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Dec%202018%2015:34:44%20GMT	http://bizweb.dktcdn.net/100/343/333/themes/702394/assets/xxx_7.jpg?1586856046129	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/100/343/333/themes/702394/assets/xxx_74fcc.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:32:38	71155/71155	---MCZ	200	added ('OK')	text/html	etag:W/945ce9d7e5d946527c5cd903eba5294e	https://tmt-fashion-1.mysapo.net/black-velvet-jacket	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/tmt-fashion-1.mysapo.net/black-velvet-jacket.html	(from https://tmt-fashion-1.mysapo.net/)
